de, en
arbeiten, to work
buchstabieren, to spell
fragen, to ask
haben, to have
heißen, to be called
hören, to listen
kommen, to come
leben, to live
lernen, to learn
lesen, to read
machen, to do
meinen, to think
möchten, would like to
reisen, to travel
schreiben, to write
sein, to be
spielen, to play
sprechen, to speak
studieren, to study
warten, to wait
werden, to become
wohnen, to reside
s Alter, age
s Ausländer, foreigner
r Beruf, occupation
s Deutschland, Germany
e Eltern, parents
r Familiename, surname
r Fotograf, photographer
